ticker,venue,mic,exchange_symbol,isin,legal_name,identity_source_url,resolved_at
YINB1.MC,bme_growth,,YINB1,ES0105413001,"INBEST PRIME I INMUEBLES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YINB2.MC,bme_growth,,YINB2,ES0105414009,"INBEST PRIME II INMUEBLES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YINB3.MC,bme_growth,,YINB3,ES0105415006,"INBEST PRIME III INMUEBLES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YINB4.MC,bme_growth,,YINB4,ES0105416004,"INBEST PRIME IV INMUEBLES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YINB6.MC,bme_growth,,YINB6,ES0105556007,"INBEST PRIME VI INMUEBLES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YINB7.MC,bme_growth,,YINB7,ES0105557005,"INBEST PRIME VII INMUEBLES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YINB8.MC,bme_growth,,YINB8,ES0105558003,"INBEST PRIME VIII INMUEBLES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YIPS.MC,bme_growth,,YIPS,ES0105389003,INVERSA PRIME SOCIMI S.A.,https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YIRG.MC,bme_growth,,YIRG,ES0105653002,"IRG10 SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YISC.MC,bme_growth,,YISC,ES0105153003,"ISC FRESH WATER INVESTMENT SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YKTS.MC,bme_growth,,YKTS,ES0105536009,"KTESIOS REAL ESTATE SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YLFG.MC,bme_growth,,YLFG,ES0105432001,"LAFINCA GLOBAL ASSETS SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YMAT.MC,bme_growth,,YMAT,ES0105656005,"MATRITENSE REAL ESTATE SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YMCS.MC,bme_growth,,YMCS,ES0105707006,MICISO REAL ESTATE SOCIMI S.A.,https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YMIB.MC,bme_growth,,YMIB,ES0105445003,"MISTRAL IBERIA REAL ESTATE SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YMIL.MC,bme_growth,,YMIL,ES0105584009,MILEPRO LOGÍSTICA ÚLTIMA MILLA SOCIMI,https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YMRE.MC,bme_growth,,YMRE,ES0105313003,"MERIDIA REAL ESTATE III SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YNPC.MC,bme_growth,,YNPC,ES0105475000,"NEXTPOINT CAPITAL SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YNUM.MC,bme_growth,,YNUM,ES0105265005,NUMULAE GESTION DE SERVICIOS SOCIMI S.A.,https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YORE.MC,bme_growth,,YORE,ES0105224002,"OLIMPO REAL ESTATE SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YPSN.MC,bme_growth,,YPSN,ES0170756037,PREVISION SANITARIA NACIONAL GEST. S.A.,https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YQUO.MC,bme_growth,,YQUO,ES0105150009,"QUONIA SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YSIL.MC,bme_growth,,YSIL,ES0105569000,"SILICIUS REAL ESTATE SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YSRR.MC,bme_growth,,YSRR,ES0105317004,"SERRANO 61 DESARROLLO SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YTAN.MC,bme_growth,,YTAN,ES0105314001,"TANDER INVERSIONES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YTCH.MC,bme_growth,,YTCH,ES0105775003,TECHO HOGAR SOCIMI SDAD. DE Bº INTERES C,https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YTRI.MC,bme_growth,,YTRI,ES0105421004,"TRIVIUM REAL ESTATE SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YTRM.MC,bme_growth,,YTRM,ES0105429007,"TORIMBIA SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YTST.MC,bme_growth,,YTST,ES0105210019,"TESTA  RESIDENCIAL SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YVCP.MC,bme_growth,,YVCP,ES0105330007,"VERACRUZ PROPERTIES SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YVIT.MC,bme_growth,,YVIT,ES0105139002,"VITRUVIO REAL ESTATE SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YVIV.MC,bme_growth,,YVIV,ES0105384004,"VIVENIO RESIDENCIAL SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
YZBL.MC,bme_growth,,YZBL,ES0105080008,"ZAMBAL SPAIN SOCIMI, S.A.",https://apiweb.bolsasymercados.es/Market/v1/EQ/ShareDetailsInfo,2026-08-05T13:07:05.508856+00:00
